USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,CAMPAIGN_NAME,LANGUAGE,CHANNEL,PURPOSE
986,11,1673308800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
950,30,1673049600,viewed,MedicaidLIER,SPANISH,SMS,ValueProposition
40,15,1673049600,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
150,9,1673049600,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
235,1,1673308800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
615,39,1672790400,viewed,MedicaidLIER,ENGLISH,SMS,ValueProposition
870,10,1672963200,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
733,24,1672531200,viewed,MedicaidLIER,ENGLISH,SMS,ValueProposition
139,44,1673049600,viewed,MedicaidLIER,ENGLISH,SMS,ValueProposition
763,25,1672617600,viewed,MedicaidLIER,ENGLISH,SMS,ValueProposition
656,13,1673308800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
53,24,1672876800,viewed,MedicaidLIER,ENGLISH,SMS,ValueProposition
354,9,1673222400,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
616,32,1673136000,viewed,MedicaidLIER,SPANISH,SMS,ValueProposition
584,7,1672617600,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
336,17,1673222400,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
816,10,1672790400,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
156,18,1672963200,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
797,28,1672704000,viewed,MedicaidLIER,SPANISH,SMS,ValueProposition
97,13,1672876800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
382,14,1672876800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
365,15,1672790400,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
263,34,1672963200,viewed,MedicaidLIER,SPANISH,SMS,ValueProposition
557,37,1672617600,viewed,MedicaidLIER,ENGLISH,SMS,ValueProposition
874,13,1672790400,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
472,1,1672876800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
476,6,1672704000,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
15,33,1672704000,viewed,MedicaidLIER,SPANISH,SMS,ValueProposition
847,18,1673049600,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
345,5,1673049600,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
259,4,1672876800,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
565,4,1672704000,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
250,13,1673222400,viewed,DiabetesConsiergeProgram,ENGLISH,SMS,ValueProposition
